episode,episode_length,total_env_steps,total_reward
926,209,287502,281.4996
927,174,287676,256.1676
928,315,287991,290.9380
929,1000,288991,130.6977
930,242,289233,260.3043
931,159,289392,263.2595
932,159,289551,258.4222
933,172,289723,240.8894
934,297,290020,220.8179
935,191,290211,241.0755
936,225,290436,268.6933
937,194,290630,245.6037
938,215,290845,234.3952
939,183,291028,270.0031
940,194,291222,261.3435
941,189,291411,255.5524
942,320,291731,284.2421
943,268,291999,275.0641
944,229,292228,293.2265
945,226,292454,263.5875
946,344,292798,278.9937
947,200,292998,238.6045
948,198,293196,270.4668
949,204,293400,249.1354
950,186,293586,245.5828
951,191,293777,271.1368
952,207,293984,232.1159
953,258,294242,249.0136
954,221,294463,229.7972
955,170,294633,263.0848
956,186,294819,230.6699
957,194,295013,258.5863
958,314,295327,277.7955
959,289,295616,288.0691
960,220,295836,265.2763
961,222,296058,215.8412
962,256,296314,256.8064
963,274,296588,252.8026
964,277,296865,250.9275
965,770,297635,254.2358
966,264,297899,269.4629
967,263,298162,282.8472
968,167,298329,248.2920
969,212,298541,255.1101
970,352,298893,285.9969
971,219,299112,228.3412
972,263,299375,298.6237
973,202,299577,254.0680
974,179,299756,268.8205
975,241,299997,288.3657
976,108,300105,3.6072
977,233,300338,278.8730
978,295,300633,278.3645
979,313,300946,273.7266
980,216,301162,275.6476
981,254,301416,264.2755
982,288,301704,248.5587
983,284,301988,288.8769
984,202,302190,272.3084
985,174,302364,271.8980
986,231,302595,265.4484
987,223,302818,271.9710
988,224,303042,262.0670
989,613,303655,247.0364
990,162,303817,262.9799
991,202,304019,241.0525
992,306,304325,262.8961
993,226,304551,290.1304
994,134,304685,39.1540
995,282,304967,279.2489
996,199,305166,242.1895
997,153,305319,274.7476
998,384,305703,281.6854
999,164,305867,270.7471
1000,240,306107,254.1999
1001,365,306472,250.4088
1002,168,306640,240.4946
1003,290,306930,240.9168
1004,263,307193,271.8177
1005,203,307396,241.9079
1006,156,307552,261.2489
1007,235,307787,267.0811
1008,222,308009,273.0508
1009,173,308182,256.7204
1010,241,308423,248.3402
1011,274,308697,280.6170
1012,237,308934,252.7100
1013,188,309122,245.3255
1014,160,309282,222.6627
1015,540,309822,257.5487
1016,239,310061,273.8767
1017,263,310324,244.7983
1018,277,310601,273.9980
1019,178,310779,229.2004
1020,486,311265,260.7379
1021,226,311491,264.2571
1022,279,311770,295.1853
1023,223,311993,261.5426
1024,155,312148,291.9920
1025,213,312361,231.9083
1026,560,312921,276.6892
1027,220,313141,239.3106
1028,252,313393,272.6948
1029,221,313614,288.6873
1030,220,313834,282.6756
1031,250,314084,240.9044
1032,318,314402,301.3783
1033,207,314609,229.4809
1034,240,314849,295.2590
1035,210,315059,242.6034
1036,181,315240,267.7916
1037,313,315553,279.3613
1038,163,315716,264.1513
1039,213,315929,245.0820
1040,588,316517,258.6048
1041,275,316792,264.1380
1042,203,316995,260.4518
1043,276,317271,283.0321
1044,287,317558,276.7481
1045,329,317887,280.7964
1046,234,318121,287.4778
1047,189,318310,256.7620
1048,233,318543,282.8244
1049,202,318745,234.8847
1050,190,318935,250.8309
1051,129,319064,21.8639
1052,173,319237,244.8716
1053,204,319441,256.7689
1054,146,319587,254.9714
1055,191,319778,263.8854
1056,158,319936,236.9511
1057,280,320216,286.8972
1058,158,320374,255.2770
1059,147,320521,275.1018
1060,194,320715,256.7005
1061,294,321009,292.4046
1062,174,321183,233.6596
1063,342,321525,304.4778
1064,243,321768,253.6066
1065,254,322022,269.5763
1066,182,322204,245.2701
1067,244,322448,304.7886
1068,335,322783,285.8694
1069,237,323020,259.9612
1070,184,323204,245.8922
1071,179,323383,259.0319
1072,120,323503,63.8721
1073,190,323693,270.5492
1074,229,323922,242.6864
1075,152,324074,268.8576
1076,167,324241,254.3848
1077,237,324478,271.0787
1078,241,324719,264.4583
1079,268,324987,273.7705
1080,310,325297,289.5308
1081,173,325470,249.3471
1082,190,325660,270.1656
1083,256,325916,264.3548
1084,166,326082,249.5586
